R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
46,222C615,D.J. CLINES,"THE NEW CENTURY BIBLE COMMENTARY: EZRA, NEHEMIAH, ESTHER",1984,BIBLICAL STUDIES,
28,227.407G984,DONALD GUTHRIE,THE NEW CENTURY BIBLE COMMENTARY: GALATIANS,1973,BIBLICAL STUDIES,
37,227.2077B830,F.F. BRUCE,THE NEW CENTURY BIBLE COMMENTARY: I AND II CORINTHIANS,1980,BIBLICAL STUDIES,
41,224.107W622,R.N. WHYBRAY,THE NEW CENTURY BIBLE COMMENTARY: ISAIAH 40-66,1981,BIBLICAL STUDIES,
42,224.1077C591,R.E. CLEMENTS,THE NEW CENTURY BIBLE COMMENTARY: ISAIAH I-39,1980,BIBLICAL STUDIES,
32,227.9Si36,E.M. SIDEBOTTOM,"THE NEW CENTURY BIBLE COMMENTARY: JAMES, JUDE, 2 PETER",1967,BIBLICAL STUDIES,
34,227.6077M363,RALPH P. MARTIN,THE NEW CENTURY BIBLE COMMENTARY: PHILIPPIANS,1980,BIBLICAL STUDIES,
38,227.107B561,MATTHEW BLACK,THE NEW CENTURY BIBLE COMMENTARY: ROMANS,1981,BIBLICAL STUDIES,
36,226.607N324,WILLIAM NELL,THE NEW CENTURY BIBLE COMMENTARY: THE ACTS OF THE APOSTLES,1981,BIBLICAL STUDIES,
45,223.1077R797,H.H ROWLEY,THE NEW CENTURY BIBLE COMMENTARY: THE BOOK OF JOB,1980,BIBLICAL STUDIES,
44,223.207An231 v.1,A.A. ANDERSON,"THE NEW CENTURY BIBLE COMMENTARY: THE BOOK OF PSALMS, VOLUME I (PSALMS 1-72)",1981,BIBLICAL STUDIES,
43,223.207An231 v.2,A.A. ANDERSON,"THE NEW CENTURY BIBLE COMMENTARY: THE BOOK OF PSALMS, VOLUME II (PSALSMS 73-150)",1981,BIBLICAL STUDIES,
26,226.3An231,HUGH ANDERSON,THE NEW CENTURY BIBLE COMMENTARY: THE GOSPEL OF MARK,1976,BIBLICAL STUDIES,
39,226.207H550,DAVID HILL,THE NEW CENTURY BIBLE COMMENTARY: THE GOSPEL OF MATTHEW,1981,BIBLICAL STUDIES,
29,227.9407G795,KENNETH GRAYSTON,THE NEW CENTURY BIBLE COMMENTARY: THE JOHANNINE EPISTLES,1984,BIBLICAL STUDIES,
30,227.83077H198,A.T. HANSON,THE NEW CENTURY BIBLE COMMENTARY: THE PASTORAL EPISTLES,1982,BIBLICAL STUDIES,
32,261.808822N420,"Judith A. Dwyer, editor",The New Dictionary of Catholic Social Thought,1994,General Reference,
1,248.08822N420,Michael Downey,The New Dictionary of Catholic Spirituality,1993,General Reference,
66,264.036P989,,"THE NEW EXPLORING GOD'S WORLD YEAR ""C"" PART 1",1998,Filipiniana,
15,004.03N420,,THE NEW INTERNATIONAL WEBSTER'S POCKET COMPUTER DICTIONARY OF THE ENGLISH LANGUAGE,2005,GEN-REF2,
2,220.6N420,"Raymond E. Brown, S.S.",THE NEW JEROME BIBLICAL COMMENTARY,1990,BIBLICAL STUDIES,
147,220.7B812,"Raymond E. Brown, O.Carm.",The New Jerome Biblical Commentary,1990,BIBLICAL STUDIES,
78,225.48N420,,The New Testament in the Original Greek,1956,BIBLICAL STUDIES,
8,220.52054N420bc.1,,THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE ( blue),1970,BIBLICAL STUDIES,
9,220.52054N420bc.2,,THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE ( blue),1970,BIBLICAL STUDIES,
10,220.52054N420bc.3,,THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE ( blue),1970,BIBLICAL STUDIES,
11,220.52054N420bc.4,,THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE ( blue),1970,BIBLICAL STUDIES,
,220.52054N420bc.5,,"THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE (blue, number of copies 5)",1970,BIBLICAL STUDIES LIB 2 (duplicate copies),
12,220.52054N420g c.1,,THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE: SAINT JOSEPH EDITION (green),1970,BIBLICAL STUDIES,
13,220.52054N420g c.2,,THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE: SAINT JOSEPH EDITION (green),1970,BIBLICAL STUDIES,
14,220.52054N420g c.3,,THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE: SAINT JOSEPH EDITION (green),1970,BIBLICAL STUDIES,
,220.52054N420g c.4 - 27,,"THE NEW TESTAMENT OF THE NEW AMERICAN BIBLE: SAINT JOSEPH EDITION (green, number of copies 27)",1970,BIBLICAL STUDIES LIB 2 (duplicate copies),
185,225.115H550,David Hill,THE NEW TESTAMENT PROPHECY ( reader in bibblical studies ),1979,BIBLICAL STUDIES,
474,234.72N420,,THE NEW WAY OF THE CROSS,1970,Filipiniana,
75,600M119,David Macaulay,THE NEW WAY THINGS WORK,1998,GEN-REF2,
149,220.2N420,,The New World Idea Index to the Holy Bible,1972,BIBLICAL STUDIES,
103,266.2309N420,,THE NEW YORK PROVINCE JESUITS,1991,GEN-REF2,
89,384.6N420,,THE NEW ZIP CODE DIRECTORY OF THE PHILIPPINES,,FILIPIANA (LIBRARY 2),
340,248.4N171,Robert Nash. S.J.,THE NUN AT HER PRIE-DIEU,1950,SPIRITUALITY,
52,271.53092M469,Theodore Maynard,The Odyssey of Francis Xavier,1936,SPIRITUALITY,
78,423.1Ox22,,THE OFXORD DICTIONARY AND THESAURUS AMERICAN EDITION,1996,GEN-REF2,
34,F952,Carlos Fuentes,THE OLD GRINGO,1985,FICTION,
75,H373,Ernest Hemingway,THE OLD MAN AND THE SEA,1952,FICTION,
190,221.93L221,H. Darrell Lance,THE OLD TESTAMENT AND THE ARCHAEOLOGIST,1981,BIBLICAL STUDIES,
30,262.5 N856,Michael Novak,"THE OPEN CHURCH : Vatican II, Act II",1964,THEOLOGY,
483,264.03Or22c.1,,THE ORDER OF MASS: THE ROMAN MISSAL,2010,Filipiniana,
484,264.03Or22c.2,,THE ORDER OF MASS: THE ROMAN MISSAL,2010,Filipiniana,
192,235.47P146,Elaine Pagels,The Origin of Satan ,1995,BIBLICAL STUDIES,
269,271.5309B785,"James Brodrick, S.J.",The origin of the Jesuits ,1960,THEOLOGY,
680,248.3K299,Mortn T. Kelsey,THE OTHER SIDE OF SILENCE : A guide to christain meditation,1976,SPIRITUALITY,
116,220.3Ox22,,THE OXFORD : ESSENTIAL GUIDE TO PEOPLE AND PLACES OF THE BIBLE,2001,General Reference,
117,220.3Ox23,,THE OXFORD : ESSENTIAL GUIDE TO PEOPLE AND PLACES OF THE BIBLE,2001,General Reference,
60,220.3Ox22,"Bruce M. Metzger, editor",THE OXFORD COMPANION TO THE BIBLE,1993,BIBLICAL STUDIES,
20,282.0922K295,,The Oxford Dictionary of Popes,1986,General Reference,
81,938M119,"John Boardman, Jasper Griffin, Oswyn Murray",THE OXFORD HISTORY OF THE CLASSICAL WORLD,1986,GEN-REF2,
68,423.1Ox22,,THE OXFORD UNIVERSAL DICTIONARY ILLUSTRATED,1961,GEN-REF2,
26,423.1L721,William Little,The Oxford Universal Dictionary Illustrated : an illustrated edition of the shorter oxford english dictionary,1967,General Reference,
91,262.8F885,Anne Fremantle,THE PAPAL ENCYCLICALS IN THEIR HISTORICAL CONTEXT,1963,PAPAL COLLECTION,
121,226.9226.9J472,Joachim Jeremias,THE PARABLES OF JESUS,1963,THEOLOGY,
69,264 W168g,"Eugene A. Walsh, S.S.",THE PARISH SUNDAY ASSEMBLY: GATHERS,1988,THEOLOGY,
70,264 W168l,"Eugene A. Walsh, S.S.",THE PARISH SUNDAY ASSEMBLY: LISTENS,1988,THEOLOGY,
71,264 W168r,"Eugene A. Walsh, S.S.",THE PARISH SUNDAY ASSEMBLY: RESPONDS,1988,THEOLOGY,
205,232.96F367,J.C. Fenton,THE PASSION ACCORDING TO JOHN,1961,SPIRITUALITY,
395,242P267,,THE PASSION ACCORDING TO SAINT IGNATIUS,,SPIRITUALITY,
56,232.96K835c.1,Peter-Hans Kolvenbacch,THE PASSION ACCORDING TO ST. IGNATIUS *** FOOLS FOR CHRIST'S SAKE,1989,SPIRITUALITY,
57,232.96K835c.2,Peter-Hans Kolvenbacch,THE PASSION ACCORDING TO ST. IGNATIUS *** FOOLS FOR CHRIST'S SAKE,1989,SPIRITUALITY,
164,232.96P267,,The Passion Narrative: General Remarks ( photocopy),n.d.,BIBLICAL STUDIES,
72,220.6P268,,THE PASTORAL GUIDE TO THE BIBLE ( Chicago Studies ),1978,BIBLICAL STUDIES,
609,248.3D641,"Parmananda R. Divarkar, S.J.",THE PATH OF INTERIOR KNOWLEDGE : Reflection on the spiritual exercises of St Ignatius of loyola,1983,SPIRITUALITY,
903,248.4N856,Henri J.M. Nouwen,THE PATH OF POWER,1995,SPIRITUALITY,
65,P376,,THE PENGUIN BOOK OF SICK VERSE,1963,FICTION,
673,248.29Al749c.1,"Herbert Alphonso,S.J",THE PERSONAL VOCATION : Transformation in depth through the spiritual exercises,1990,SPIRITUALITY,
674,248.29Al749c.2,"Herbert Alphonso,S.J",THE PERSONAL VOCATION : Transformation in depth through the spiritual exercises,1990,SPIRITUALITY,
675,248.29Al749c.3,"Herbert Alphonso,S.J",THE PERSONAL VOCATION : Transformation in depth through the spiritual exercises,1990,SPIRITUALITY,
63,262.09959P538,RICHARD P.HARDY,THE PHILIPPINE BISHOPS SPEAK (1968-1983),1984,Filipiniana,
301,262.14P538,,"The Philippine Clergy Workbook 2004 :spirituality lifestyle, pastoral ministry and priestly formation",2004,Filipiniana,
,,Bii no.2 june NO. Mvolaleda,"THE PHILIPPINE JESUIT VOL.VII NO.2 JUNE,1960 : Ordination issue ",1960,BOOKLET,
14,307.14P538,"Fr. Peter-Hans Kolvenbach, S.J.",THE PHILIPPINE PROVINCE OF THE SOCIETY OF JESUS,1991,FILIPIANA (LIBRARY 2),
37,303.49M313,Mahar Mangahas,THE PHILIPPINE SOCIAL CLIMATE: FROM THE SWS SURVEYS,1994,FILIPIANA (LIBRARY 2),
138,282.599C376,"Pierre de Charentenay, S.J.",The Philippines : An Asiatic and Catholic Archipelago,2016,Filipiniana,
178,261.709599P538,,THE PHILIPPINES : THE CHURCH IN AN UNFINISHED SOCIETY,n.d.,Filipiniana,
148,255.53P643,"Aristotle C. Dy, S.J.",THE PILGRIM AND THE SAGE,2019,SPIRITUALITY,
40,C159,Albert Camus,THE PLAGUE,1947,FICTION,
187,234B235,William Barclay,"THE PLAIN MAN LOOKS AT THE APOSTLES"" CREED",1982,THEOLOGY,
927,248.29V89c.1,"Franz von Hummelauer, S.J.",THE PLAN OF THE SPIRITUAL EXERCISES OF St. IGNATIUS OF LOYOLA ,,SPIRITUALITY,
928,248.29V89c.2,"Franz von Hummelauer, S.J.",THE PLAN OF THE SPIRITUAL EXERCISES OF St. IGNATIUS OF LOYOLA ,,SPIRITUALITY,
929,248.29V89c.3,"Franz von Hummelauer, S.J.",THE PLAN OF THE SPIRITUAL EXERCISES OF St. IGNATIUS OF LOYOLA ,,SPIRITUALITY,
930,248.29V89c.4,"Franz von Hummelauer, S.J.",THE PLAN OF THE SPIRITUAL EXERCISES OF St. IGNATIUS OF LOYOLA ,,SPIRITUALITY,
931,248.29V89c.5,"Franz von Hummelauer, S.J.",THE PLAN OF THE SPIRITUAL EXERCISES OF St. IGNATIUS OF LOYOLA ,,SPIRITUALITY,
931,248.29V89c.6,"Franz von Hummelauer, S.J.",THE PLAN OF THE SPIRITUAL EXERCISES OF St. IGNATIUS OF LOYOLA ,,SPIRITUALITY,
931,248.29V89c.7,"Franz von Hummelauer, S.J.",THE PLAN OF THE SPIRITUAL EXERCISES OF St. IGNATIUS OF LOYOLA ,,SPIRITUALITY,
285,248.3H883c.1,"Franz Von Hummelauer, S.J.","THE PLAN of the Spiritual Exercises of St. Ignatius of Loyola from the ""Puncta Meditationum et Contemplationum S.P. Ignatii""",n.d.,Filipiniana,
286,248.3H883c.2,"Franz Von Hummelauer, S.J.","THE PLAN of the Spiritual Exercises of St. Ignatius of Loyola from the ""Puncta Meditationum et Contemplationum S.P. Ignatii""",n.d.,Filipiniana,
426,248.4B66Op,Fr. Jose Bouchaud,THE POOR HAVE EVANGELIZED ME,,SPIRITUALITY,
321,282.7P810,SOCIETY OF ST. PAUL,THE POPE TO THE FILIPINO PEOPLE : the complete speeches of John Paul II,1981,Filipiniana,
106,248.4P313,Norman Vincent Peale,THE POWER OF POSITIVE THINKING,1978,THEOLOGY,
394,248.22P16,"Sebastian Painadath, S.J.",The Power of Silence : Fifty Meditations to Discover the Divine Space within you,2009,Filipiniana,
24,158.1M366,Scott Martineau,"THE POWER OF YOU! HOW YOU CAN CREATE HAPPINESS, BALANCE, AND WEALTH",2006,GEN-REF2,
450,248.3M236c.1,"Francis MacNutt, O.P.",THE POWER TO HEAL,1977,SPIRITUALITY,
451,248.3M236c.2,"Francis MacNutt, O.P.",THE POWER TO HEAL,1977,SPIRITUALITY,
129,248.482R129,Karl Rahner,THE PRACTICE OF FAITH : a handbook of contemporary spirituality,1985,General Reference,
666,248.4B279c.1,William A. Barry & William J. Connolly,THE PRACTICE OF SPIRITUAL DIRECTION,1960,SPIRITUALITY,
667,248.4B279c.2,"John C. Ford, S.J.",THE PRACTICE OF SPIRITUAL DIRECTION,1960,SPIRITUALITY,
668,248.4B279c.3,"Rafael N. Borromeo, S.J.",THE PRACTICE OF SPIRITUAL DIRECTION,1960,SPIRITUALITY,
541,242B630,"Leonard Boase, S.J.",THE PRAYER OF FAITH,1976,SPIRITUALITY,
88,248.32P898,,"THE PRAYER OF JESUS : a monk of the Eastern church =its genesis, development and practice in the…",1967,SPIRITUALITY,
910,249M236,Francis Macnutt,THE PRAYER THAT HEALS : Praying for healing in the family,1981,SPIRITUALITY,
20,225.66C656,Donald Coggan,THE PRAYERS OF THE NEW TESTAMENT,1967,BIBLICAL STUDIES,
91,248.3D227,Jean Danielou,THE PRESENCE OF GOD,1960,SPIRITUALITY,
149,282.092P933c.1,,"THE PRIEST and the Third Christian Millenium teacher of the word, minister of the sacraments and leader of the community ( Congregation for the clergy )",1999,Filipiniana,
150,282.092P933c.2,,"THE PRIEST and the Third Christian Millenium teacher of the word, minister of the sacraments and leader of the community ( Congregation for the clergy )",1999,Filipiniana,
28,253On26,David P. O'Neill,THE PRIEST IN CRISIS / A STUDY IN ROLE CHANGE,1968,SPIRITUALITY,
811,248.3Sh358,Fulton Sheen,THE PRIEST IS NOT HIS OWN,1963,SPIRITUALITY,
588,232.9G619,"Rev. Alban Goodier, S.J.",THE PRINCE OF PEACE FOR ADVENT AND CHRISTMAS,1947,SPIRITUALITY,
246,271.53B785,"James Brodrick, S.J.",THE PROGRESS OF THE JESUITS (1556 - 79),1947,SPIRITUALITY,
166,226.2P944,,THE PROLOGUE ( photcopy),n.d.,BIBLICAL STUDIES,
161,226.2P944,,THE PROLOGUE Mt. 1-2: THE INFANCY ANTICIPATES THE PASSION ( photocopy),n.d.,BIBLICAL STUDIES,
,,Ben A. Moraleda,THE PROMISED LAND OR A GOLDEN CALF STORY,,BOOKLET,
140,223.707C632,Thomas Coats,THE PROVERBS FOR TODAY,1960,BIBLICAL STUDIES,
799,222P958,,THE PSALMS : A new translation singing version,1963,SPIRITUALITY,
20,242.2C449,Joan Chittister,THE PSALMS : Meditations for everyday of the year,1998,SPIRITUALITY,
788,242M529,Thomas Merton,THE PSALMS ARE OUR PRAYER,1975,SPIRITUALITY,
145,225.61C383,,The Psalms for Modern Man,1970,BIBLICAL STUDIES,
151,223.2B696c.1,Rev. Patrick Canon Boylan,The Psalms: A Study of the Vulgate Psalter in theLight of the Hebrew Text,n.d,BIBLICAL STUDIES,
152,223.2B696c.2,Rev. Patrick Canon Boylan,The Psalms: A Study of the Vulgate Psalter in theLight of the Hebrew Text,n.d,BIBLICAL STUDIES,
314,248.46D629,"Georges Dirks, S.J",THE PSYCHOLOGY OF THE EXERCISES ,1977,SPIRITUALITY,
55,232.9 G619c.1,"Alban Goodier, S.J.",THE PUBLIC LIFE OF OUR LORD JESUS CHRIST,n.d,THEOLOGY,
56,232.9 G619c.2,"Alban Goodier, S.J.",THE PUBLIC LIFE OF OUR LORD JESUS CHRIST,n.d,THEOLOGY,
57,232.9 G619c.3,"Alban Goodier, S.J.",THE PUBLIC LIFE OF OUR LORD JESUS CHRIST,n.d,THEOLOGY,
58,232.9 G619c.4,"Alban Goodier, S.J.",THE PUBLIC LIFE OF OUR LORD JESUS CHRIST,n.d,THEOLOGY,
58,248.4W286,Rick Warren,THE PURPOSE DRIVEN LIFE: What on Earth am I Here for?,2002,Filipiniana,
211,282.092M366,"Martundale, s.j",THE QUEENS DAUGHTERS,1957,SPIRITUALITY,
460,271.5302P971c.1,Mary Purcell,"THE QUIET COMPANION : Peter Favre, S.J., 1506 - 46",1970,SPIRITUALITY,
461,271.5302P971c.2,Mary Purcell,"THE QUIET COMPANION : Peter Favre, S.J., 1506 - 46",1970,SPIRITUALITY,
36,828.91209,,THE QUOTABLE CHESTERTON,1986,GEN-REF2,
874,248.3W632c.1,"John Wickham, S.J.",THE REAL PRESENCE OF THE FUTURE KINGDOM  : Scripture passages for daily prayer on the Christian Virtues,1990,SPIRITUALITY,
875,248.3W632c.2,"John Wickham, S.J.",THE REAL PRESENCE OF THE FUTURE KINGDOM  : Scripture passages for daily prayer on the Christian Virtues,1990,SPIRITUALITY,
40,232.931H817,Caryll Houselander,THE REED OF GOD,1944,SPIRITUALITY,
507,270.6Ob26,Heiko A. Oberman,THE REFORMATION : Roots ramification,1994,SPIRITUALITY,
230,230.20924L960,"Henri de Lubac, S.J.",THE RELIGION OF TEILHARD DE CHARDIN,1967,SPIRITUALITY,
141,291.5Sm511,Huston Smith,THE RELIGIONS OF MAN,1958,General Reference,
256,232G945,Jacques Guillet,The Religious Experience of Jesus and His Disciples,1978,THEOLOGY,
56,232.97D938,"F.X. DURRWELL, C.SS.R.",THE RESURRECTION : A Biblical Study,1960,BIBLICAL STUDIES,
164,271.53024C936,"Francis X. Curran, S.J.",THE RETURN OF THE JESUITS,1966,SPIRITUALITY,
60,248.4N856,Henri J.M. Nouwen,THE RETURN OF THE PRODIGAL SON : A STORY OF HOMECOMING,1992,SPIRITUALITY,
91,228.077B235v.2,William Barclay,"The Revelation of John, Vol. 2",1964,BIBLICAL STUDIES,
612,262.9R327,,THE REVISED LAW OF THE CHURCH: A pastoral guide,1984,Filipiniana,
1,232.5 G619,"Alban Goodier, S.J.",THE RISEN JESUS,1948,THEOLOGY,
85,264 R511,,THE RITES OF THE CATHOLIC CHURCH a revised by decree of second vatican ecumenical council,1976,THEOLOGY,
89,282M199,John L. McKenzie,THE ROMAN CATHOLIC CHURCH,1969,THEOLOGY,
302,264.02R661,,THE ROMAN ORDER OF MASS FOR THE DIOCESES IN THE PHILIPPINES (MISA NG BAYANG PILIPINO),n.d.,Filipiniana,
23,220.7R327,,THE RSV : HANDY CONCORDANCE,1962,BIBLICAL STUDIES,
855,255.106R861,Esther de Waal,THE RULE OF SAINT BENEDICT,1993,SPIRITUALITY,
5,C232,John le Carre,THE RUSSIA HOUSE,1989,FICTION,
,,"Thomas O. Blarke, S.J",THE SACRAMENT OF BAPTISM LITURGICAL RITE,,BOOKLET,
135,248.482C312,Jean Pierre de Caussade,THE SACRAMENT OF THE PRESENT MOMENT,1982,SPIRITUALITY,
135,264.023Sa148c.1,,The Sacramentary ( The Roman Missal ),1985,THEOLOGY,
136,264.023Sa148c.2,,The Sacramentary ( The Roman Missal ),1985,THEOLOGY,
281,201El41,Mircea Eliade,"The Sacred and the Profane: The Nature of Religion (The significance of religious myth, symbolicsm, and ritual within life and culture)",1957,THEOLOGY,
174,260Sa149,"Michael J. Taylor, S.J.",THE SACRED AND THE SECULAR,1968,THEOLOGY,
503,264.021D115,"Alban J. Dachauer, S.J.",THE SACRED HEART A COMMENTARY ON HAURIETIS AQUAS,1959,SPIRITUALITY,
242,282.3C382,"Francois Charmot, S.J.",THE SACRED HEART AND MODERN LIFE,1952,SPIRITUALITY,
511,232.3Sa149,,THE SACRED HEART OF JESUS : a joint pastoral letter of the Bishop of the Ecclesiastical Province of Cebu on the third centenary of the apparations of the Sacred Heart of Jesus to St. Margaret Mary Alacoque,1975,Filipiniana,
615,285.13B86,Frederick Buecher,THE SACRED JOURNEY,1979,SPIRITUALITY,
300,271.97P916,Marion Mill Preminger,"THE SANDS OF TAMANRASSET: The exciting story of Charles de Foucauld, True Hero of God",1963,SPIRITUALITY,
734,248.4G619,"Alban Goodier, S.J",THE SCHOOL OF LOVE AND OTHER ESSAYS,1947,SPIRITUALITY,
14,248.4L585,C.S. Lewis,THE SCREWTAPE LETTERS,1946,SPIRITUALITY,
8,155.632Se179,Daniel V. Levinson,THE SEASON OF A MAN'S LIFE,1978,REFERENCE (Library 2),
8,001.94K743,Christopher Knight & Robert Lomas,THE SECOND MESSIAH,1985,THEOLOGY,
25,M558,Thomas Merton,THE SECULAR JOURNAL OF THOMAS MERTON,1959,FICTION,
59,225.66F919,"Joseph A. Fritzmyer, S.J.",THE SEMITIC BACKGROUND OF THE NEW TESTAMENT,1997,BIBLICAL STUDIES,
904,248.3As36,J. Robert Ashcroft,THE SEQUENCE OF SUPER NATURAL : And other essays on the spirit-filled life,1997,SPIRITUALITY,
17,M558,Thomas Merton,THE SEVEN STOREY MOUNTAIN,1948,FICTION,
720,248.3K546,Soren Kierkegaard,THE SICKNESS UNTO DEATH : A christian psychological exposition for upbuilding and awakening,1980,SPIRITUALITY,
812,232.91L328,Ignacio Larranaga,THE SILENCE OF MARY,1979,SPIRITUALITY,
106,759.5Si848,Abrams,THE SISTINE CHAPEL : A GLORIOUS RESTORATION,1994,General Reference,
554,282.092J82,"Albert Jou, S.J.","THE SLAVE OF THE SLAVES : The story of St. Peter Claver, S.J",1986,SPIRITUALITY,
26,813M612,Henry Miller ,THE SMILE AT THE FOOT OF THE LADDER,1948,REFERENCE (Library 2),
415,248.46B996,"William  J. Byron, S.J",THE SOCIAL CONCIOUSNESS OF THE IGNATIAN EXERCISES,1973,SPIRITUALITY,
405,248.46B697,"Patrick J. Boyle, S.J",THE SOCIAL CONCIOUSNESS OF THE SPIRITUAL EXERCISES,,SPIRITUALITY,
24,306.85Or85,Carmela D. Ortigas,THE SOLO-PARENT EXPERIENCE: A GROWING SOCIAL PHENOMENON,1989,FILIPIANA (LIBRARY 2),
38,306.85Or85,Carmila D. Ortigas,THE SOLO-PARENT EXPERIENCE: A GROWING SOCIAL PHENOMENON,1996,FILIPIANA (LIBRARY 2),
67,F775,Gertrud Von Le Fort,THE SONG AT THE SCAFFOLD,1933,FICTION,
890,289.3W492,Franz Werfel,THE SONG OF BERNADETTE,1942,SPIRITUALITY,
616,248.3D393c.1,"Anthony de Mello, S.J.",THE SONG OF THE BIRD,1985,SPIRITUALITY,
617,248.3D393c.2,"Anthony de Mello, S.J.",THE SONG OF THE BIRD,1985,SPIRITUALITY,
618,248.3D393c.3,"Anthony de Mello, S.J.",THE SONG OF THE BIRD,1985,SPIRITUALITY,
273,248.8M145,Patrick J.Mc Donald ,The Soul of a Marriage,1995,Filipiniana,
,,"Ch. English , T.J",THE SPIRIT OF CHRISTMASS,,BOOKLET,
198,226.606Si152,"Paul Siebert, O.M.I.",The Spirit of Jesus in Acts,1980,BIBLICAL STUDIES,
197, 224.6N789,Marilyn Norquist,The Spirit of Jesus in Acts,1979,BIBLICAL STUDIES,
689,248.2P773c.2,Kathleen Pond,THE SPIRIT OF THE SPANISH MYSTICS,1958,SPIRITUALITY,
158,248.3405Sp4851979,,THE SPIRITUAL DIARY OF ST. IGNATIUS DE LOYOLA,1979,PERIODICAL,
743,242D357,Simon Decloux,THE SPIRITUAL DIARY OF ST. IGNATIUS LOYOLA,1990,SPIRITUALITY,
41,253.5Is16,Damien Isabell ,THE SPIRITUAL DIRECTOR : A PRACTICAL GUIDE,1976,SPIRITUALITY,
705,248.2C358,"Father champion, S.J ",THE SPIRITUAL DOCTRINE OF FATHER LOUIS LALLEMANT : The society of jesus,1955,SPIRITUALITY,
20,248.2 C358,"Father Champion, S.J.",THE SPIRITUAL DOCTRINE OF FATHER LOUIS LALLEMANT OF THE SOCIETY OF JESUS,1955,THEOLOGY,
631,248.3L865,W.H. Longridge,THE SPIRITUAL EXERCISE OF SAINT IGNATIUS OF LOYOLA,1955,SPIRITUALITY,
644,248.3Eg13c.1,"Harvey D. Egan, S.J.",THE SPIRITUAL EXERCISES AND THE IGNATIAN MYSTICAL HORIZON,1976,SPIRITUALITY,
645,248.3Eg13c.2,"Harvey D. Egan, S.J.",THE SPIRITUAL EXERCISES AND THE IGNATIAN MYSTICAL HORIZON,1976,SPIRITUALITY,
943,248.29D340c.1,Francesco Rossi de Gasperis S.J.,THE SPIRITUAL EXERCISES AS PROFOUND ENTRY INTO THE JOURNEY OF BIBLICAL FAITH,1985,SPIRITUALITY,
944,248.29D340c.2,Francesco Rossi de Gasperis S.J.,THE SPIRITUAL EXERCISES AS PROFOUND ENTRY INTO THE JOURNEY OF BIBLICAL FAITH,1985,SPIRITUALITY,
945,248.29D340c.3,Francesco Rossi de Gasperis S.J.,THE SPIRITUAL EXERCISES AS PROFOUND ENTRY INTO THE JOURNEY OF BIBLICAL FAITH,1985,SPIRITUALITY,
290,248.3C964,"Gilles Cusson, S.J.",THE SPIRITUAL EXERCISES MADE IN EVERYDAY LIFE : A method and a biblical interpretation,1992,SPIRITUALITY,
72,248.3G157c.1,"George E. Ganss, S.J.",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1993,SPIRITUALITY,
73,248.3G157c.2,"George E. Ganss, S.J.",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1992,SPIRITUALITY,
74,248.3G157c.3,"George E. Ganss, S.J.",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,,SPIRITUALITY,
236,248.29P964,"Louis J. Puhl, S.J.",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1975,SPIRITUALITY,
519,242.5M56,"Father Maurice Meschler, S.J.",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1899,SPIRITUALITY,
979,248.29C811c.1,"Thomas Corbishley, S.J",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1963,SPIRITUALITY,
980,248.29C811c.2,"Thomas Corbishley, S.J",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS,1963,SPIRITUALITY,
605,248.3Aml189,"Aloysius Ambruzzi, S.J.",THE SPIRITUAL EXERCISES OF SAINT IGNATIUS IN OUR DAILY PRAYER,1955,SPIRITUALITY,
110,248.29Sp485,"Louis J. Puhl, S.J.",THE SPIRITUAL EXERCISES OF ST IGNATIUS,1961,SPIRITUALITY,
765,248.2P964,"Louis J. Puhl, S.J.",THE SPIRITUAL EXERCISES OF ST IGNATIUS LOYOLA SPANISH AND ENGLISH,1923,SPIRITUALITY,
766,248.2Sp485,,THE SPIRITUAL EXERCISES OF ST. IGNATIUS,,SPIRITUALITY,
795,248.3P964,"Louis J. Puhl, S.J.",THE SPIRITUAL EXERCISES OF ST. IGNATIUS,1956,SPIRITUALITY,
796,248.3G157,"George E. Ganss, S.J.",THE SPIRITUAL EXERCISES OF ST. IGNATIUS,1992,SPIRITUALITY,
800,248.3P964,"Louis J. Puhl, S.J.",THE SPIRITUAL EXERCISES OF ST. IGNATIUS,1956,SPIRITUALITY,
912,248.2M859c.1,"Anthony Mottola, Ph.D",THE SPIRITUAL EXERCISES OF St. IGNATIUS,1964,SPIRITUALITY,
913,248.2M859c.2,"Anthony Mottola, Ph.D",THE SPIRITUAL EXERCISES OF St. IGNATIUS,1964,SPIRITUALITY,
