R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
784,248.3St251c.5,"David M. Stanley, S.J.",A MODERN SCRIPTURAL APPROACH TO THE SPIRITUAL EXERCISES,1967,SPIRITUALITY,
785,248.3St251c.6,"David M. Stanley, S.J.",A MODERN SCRIPTURAL APPROACH TO THE SPIRITUAL EXERCISES,1967,SPIRITUALITY,
269,266.023K835c.1,"Peter-Hans Kolvenbach, S.J.",A MOST PLEASANT MISSION (MUNUS SUAVISSIMUM),1988,SPIRITUALITY,
270,266.023K835c.2,"Peter-Hans Kolvenbach, S.J.",A MOST PLEASANT MISSION (MUNUS SUAVISSIMUM),1988,SPIRITUALITY,
110,232.9R684,Daniel Rops,A New Life of Christ : JESUS AND HIS TIMES,1954,THEOLOGY,
206,261.2G368,Fr. Michel De Gigord,A Parable of Dialogue: The Little Prince,1999,Filipiniana,
33,899.2101P267,,A PASSIONATE PATIENCE,1995,FILIPIANA (LIBRARY 2),
95,266.023C881,Vincent Cronin,A PEARL TO INDIA : the life of Roberto de Nobili,1959,SPIRITUALITY,
4,D347,"John Dear, SJ",A PERSISTENT PEACE:ONE MAN'S STRUGGLE FOR A NONVIOLENT WORLD,2008,FICTION,
91,915.694045G543,Fr. Godfrey ,A Pilgrim in the  Holy Land,n.d,General Reference,
612,242.5Sm511,"Herbert F. Smith, S.J.",A PILGRIMAGE THROUGH PRAYER,1970,SPIRITUALITY,
936,271.5302T971c.1,"Joseph N. Tylenda, S.J.",A PILGRIM'S JOURNEY: The Autobiography og Ignatius Loyola,1985,SPIRITUALITY,
,271.5302T971c.2,"Joseph N. Tylenda, S.J.",A PILGRIM'S JOURNEY: The Autobiography og Ignatius Loyola,1985,SPIRITUALITY,
938,271.5302T971c.3,"Joseph N. Tylenda, S.J.",A PILGRIM'S JOURNEY: The Autobiography og Ignatius Loyola,1985,SPIRITUALITY,
939,271.5302T971c.4,"Joseph N. Tylenda, S.J.",A PILGRIM'S JOURNEY: The Autobiography og Ignatius Loyola,1985,SPIRITUALITY,
934,271.5302T971c.1,"Joseph N. Tylenda, S.J.",A PILGRIM'S JOURNEY: The Autobiography og Ignatius Loyola (photo copies),,SPIRITUALITY,
935,271.5302T971c.2,"Joseph N. Tylenda, S.J.",A PILGRIM'S JOURNEY: The Autobiography og Ignatius Loyola (photo copies),,SPIRITUALITY,
906,282.092P643,,A PILGRIM'S TESTAMENT : The memoirs of ignatius loyola,1983,SPIRITUALITY,
406,271.53024P643,,A PILGRIM'S TESTAMENT : The memories of ignatius loyola,1983,SPIRITUALITY,
68,499.221C791,,A PILOT BOOK FOR BISAYAN,,FILIPIANA (LIBRARY 2),
162,291.650257J84,Janet Joy,A PLACE APART : HOUSES OF PRAYER & RETREAT CENTERS IN NOTRH AMERICA,1994,General Reference,
373,261.8Ar699c.1 ,Pedro Arrupe S.J.,A PLANET TO HEAL : Reflection and forecats,1975,SPIRITUALITY,
374,261.8Ar699c.2,Pedro Arrupe S.J.,A PLANET TO HEAL : Reflection and forecats,1975,SPIRITUALITY,
32,226.306P177,JOSE CARDENAS PALLARES,A POOR MAN CALLED JESUS: REFLECTIONS ON THE GOSPEL OF MARK,1986,Filipiniana,
296,282.599P838,,A PORTRAIT OF THE CATHOLIC CHURCH IN MINDANAO-SULU IN FACTS AND FIGURES ANG TULAY,n.d.,Filipiniana,
70,L585,C.S. Lewis,A PREFACE TO PARADISE LOST,1942-1949,FICTION,
,,,A PRIMER : Catholic Bishops conference of the philippines,,BOOKLET,
589,246.02P933,CBCP,A Primer on Freemasonry ( abdridge version),2003,Filipiniana,
39,635.04V712,Ruben L. Villareal,A PRIMER ON VEGETABLE GARDENING,1993,FILIPIANA (LIBRARY 2),
267,282.0922B785,"James Brodrick, S.J.",A PROCESSION OF SAINTS,1949,SPIRITUALITY,
195,242.2R273,Francis E. Reilly,A Quiet God … quiet words especially for searchers,1988,Filipiniana,
591,248.4P871,John Powell,A Reason to live A Reason to die,1972,Filipiniana,
750,242D499c.1,"Eudore de Vroye, S.J.",A RETREAT OF EIGHT DAYS,1935,SPIRITUALITY,
751,242D499c.2,"Eudore de Vroye, S.J.",A RETREAT OF EIGHT DAYS,1935,SPIRITUALITY,
752,242D499c.3,"Eudore de Vroye, S.J.",A RETREAT OF EIGHT DAYS,1935,SPIRITUALITY,
899,248.2M79,Mother Mary (of the blessed sacrament),A RETREAT UNDER THE GUIDANCE OF SAINT JOHN OF THE CROSS,1930,SPIRITUALITY,
215,248.2B389,Betsey Beckman,"A RETREAT WITH OUR LADY, DOMINIC & IGNATIUS: Praying with our Bodies",n.d.,Filipiniana,
96,226.06B812,Raymond E. Brown,A RISEN CHRIST IN EASTER TIME : essays on the gospel narratives of the resurrection,1991,THEOLOGY,
162,226.06B812,"Raymond E. Brown, S.S.",A Risen Christ in Eastertime : essays on the gospel narratives of the resurrection ( photocopy),1991,BIBLICAL STUDIES,
158,252.051B86,Frederick Buechner,A ROOM CALLED REMEMBER,1973,THEOLOGY,
150,265H224,"Bernard Haring, C.SS.R.",A SACRAMENTAL SPIRITUALITY,1965,SPIRITUALITY,
85,L585,C.S. Lewis,A SEVERE MERCY,1977,FICTION,
127,230Sh351,"Peter Hans Kolvenbach, S.J.",A shared vision and journey: finding god's will for us)   J.H.S : addresses and homilies of Rev. Peter-Hans Kolvenbach  ,1988,THEOLOGY,
75,451H651,Alfred A. Hoare,A SHORT ITALIAN DICTIONARY,1918,General Reference,
623,230.14092M725,"James A. Mohler, S.J.",A SPEECHLESS CHILD IS THE WORD OF GOD,1992,SPIRITUALITY,
92,248.3G892,"Fr. Benedict J. Groeschel, C.F.R.","A STILL, SMALL VOICE: A PRACTICAL GUIDE ON REPORTED REVELATIONS",1993,SPIRITUALITY,
710,248.2C176c.1,"Philip Caraman, S.J.",A STUDY IN FRIENDSHIP,1991,SPIRITUALITY,
711,248.2C176c.2,"Philip Caraman, S.J.",A STUDY IN FRIENDSHIP,1991,SPIRITUALITY,
421,248.342M793c.1,James Moran,A STUDY OF THE PRINCIPLE AND FOUNDATION SPIRITUAL EXERCISES ST. IGNATIUS OF LOYOLA,1968,SPIRITUALITY,
422,248.342M793c.2,James Moran,A STUDY OF THE PRINCIPLE AND FOUNDATION SPIRITUAL EXERCISES ST. IGNATIUS OF LOYOLA,1968,SPIRITUALITY,
350,248.3St946c.1,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
351,248.3St946c.2,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
352,248.3St946c.3,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
353,248.3St946c.4,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
354,248.3St946c.5,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
355,248.3St946c.6,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
356,248.3St946c.7,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
357,248.3St946c.8,,"A Study of the Principle and Foundation: Spiritual Exercises, St. Ignatius of Loyola",1968,Filipiniana,
76,271.53Ec41,"Ignatius Echaniz, S.J.",A SYMPHONY OF LOVE STORIES OF JESUIT BROTHERS,1985,GEN-REF2,
47,230.2092D888,Avery Dulles,A TESTIMONIAL TO GRACE,1946,SPIRITUALITY,
74,220.7W670,Rev. Thomas David Williams,A Textual Concordance of the Holy Scriptures,1908,BIBLICAL STUDIES,
68,T361,,A THOMAS MERTON READER,1974,FICTION,
225,266.252R733,Andrew C. Ross,A Vision betrayed : the jesuits in Japan and China 1542-1742,1994,THEOLOGY,
432,242.2K180,"KIERAN M. KAY, O.F.M. CONV.","A YEAR-FULL OF ""ON THE RUN"" NOURISHMENT: COMMON BUSHES AFIRE WITH GOD",1994,Filipiniana,
699,248.22C312,"Rev. J. P . De Caussade, S.J.",ABANDONMENT TO DIVINE PROVIDENCE,1966,SPIRITUALITY,
700,248.22C312,"Rev. J. P . De Caussade, S.J.",ABANDONMENT TO DIVINE PROVIDENCE,1966,SPIRITUALITY,
701,248.22C312,Jean-Pierre de Caussade,ABANDONMENT TO DIVINE PROVIDENCE,1975,SPIRITUALITY,
244,248.892D641,"Parmananda Divarkar, S.J.",ABLAZE WITH GOD,1990,SPIRITUALITY,
393,248.8M296,"William J. Malley, S.J.","ABRAHAM, MOSES, KING DAVID Exemplars For Christian Educators",1992,Filipiniana,
58,B19,David Baldacci,ABSOLUTE POWER,1996,FICTION,
3,150.13Ir12,"Narcisco Irala, S.J.",ACHIEVING PEACE OF HEART,1963,REFERENCE (Library 2),
79,248.4F469,"FRANCESC RIERA I FIGUERAS, S.J.",ACOMPAÑAMIENTO EN LOS EJERCICIOS EN LA VIDA DIARIA (EVD),2009,SPECIAL COLLECTION,
369,248.34B520,,ACROSS THIS DARKNESS I SALUTE THE DAWN: Biography of Mere Marie Euginie Milleret,1983,SPIRITUALITY,
50,262.91Ac81,,ACTA ET DECRETA PRIMI CONCILII PLENARII INSULARUM PHILIPPINARUM MANILAE A DIE VII AD DIEM XXV MENSIS IANUARII ANNO DOMINI MDCCCCLIII CELEBRATI,1956,SPECIAL COLLECTION,
96,920N228,Nelson A. Navarro,ACTA NON VERBA: Action not words,2007,FILIPIANA (LIBRARY 2),
45,271.53Ac81,,ACTA ROMANA SOCEATATIS IESU VOLUMEN XVI FASCICULUS II - ANNO 1974 DECRETA C. G. XXXII 1974-1975,1975,SPECIAL COLLECTION,
20,271.53Ac81,,ACTA ROMANA SOCIETATIS IESU VOLUMEN XIX FASCICULUS II - ANNO 1985,1986,SPECIAL COLLECTION,
131,271.53Ac81,,ACTA ROMANA SOCIETATIS IESU VOLUMEN XIX FASCICULUS III - ANNO 1986,1987,SPECIAL COLLECTION,
104," 271.53Ac81,1995",,"ACTA ROMANA SOCIETATIS IESU VOLUMEN XXI FASCICULUS II,1 - ANNO 1995",1996,SPECIAL COLLECTION,
105," 271.53Ac81,1996",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXII FASCICULUS I - ANNO 1996,1997,SPECIAL COLLECTION,
106," 271.53Ac81,1997",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXII FASCICULUS II - ANNO 1997,1998,SPECIAL COLLECTION,
107," 271.53Ac81,1998",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXII FASCICULUS III - ANNO 1998,1999,SPECIAL COLLECTION,
108," 271.53Ac81,1999",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXII FASCICULUS IV - ANNO 1999,2000,SPECIAL COLLECTION,
109," 271.53Ac81,2000",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXII FASCICULUS V - ANNO 2000,2001,SPECIAL COLLECTION,
110," 271.53Ac81,2001",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXII FASCICULUS VI - ANNO 2001,2002,SPECIAL COLLECTION,
111," 271.53Ac81,2002",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXII FASCICULUS VII - ANNO 2002,2003,SPECIAL COLLECTION,
112," 271.53Ac81,2003",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXIII FASCICULUS I - ANNO 2003,2004,SPECIAL COLLECTION,
113," 271.53Ac81,2004",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXIII FASCICULUS II - ANNO 2004,2005,SPECIAL COLLECTION,
114," 271.53Ac81,2005",,ACTA ROMANA SOCIETATIS IESU VOLUMEN XXIII FASCICULUS III - ANNO 2005,2006,SPECIAL COLLECTION,
477,248.4Ar699,Father Arrupe,ACTION AND CONTEMPLATION TOGETHER,,SPIRITUALITY,
19,262.09599Ac87c.1,,ACTS AND DECREES of the SECOND PLENARY COUNCIL OF THE PHILIPPINES,1992,Filipiniana,
20,262.09599Ac87c.2,,ACTS AND DECREES of the SECOND PLENARY COUNCIL OF THE PHILIPPINES,1992,Filipiniana,
21,262.09599Ac87c.3,,ACTS AND DECREES of the SECOND PLENARY COUNCIL OF THE PHILIPPINES,1992,Filipiniana,
, ,,ACTS AND DECREES of the SECOND PLENARY COUNCIL OF THE PHILIPPINES (number of copies 16),1992,Filipiniana (Duplicate copies),
169,227.05209L356,Richmond Lattimore,Acts and Letters of the Apostles,1982,BIBLICAL STUDIES,
55,929.2P415,Nelson A. Navarro,AD ASTRA PER ASPERA (TO THE STARS THROUGH ADVERSITY),2008,FILIPIANA (LIBRARY 2),
641,248.2M451,"Gerald G. May, M.D.",ADDICTION & GRACE ,1988,SPIRITUALITY,
36,,,ADVANCED COURSE FOR RETREAT DIRECTIONS (ACORD),,VERTICAL FILE,
37,,,ADVANCED COURSE FOR RETREAT DIRECTIONS (ACORD),,VERTICAL FILE,
